Accession,A_1,A_2,A_3,B_1,B_2,B_3
UN087388,7.9,14.3,19.7,35.7,64.1,10.4
UN040531,8.8,25.6,23.6,16.7,32.9,11.7
UN079633,9.2,27.4,8.2,15.6,41.5,11.9
UN095267,9.6,19.6,37.8,20,41.3,8.4
UN085920,10.5,32.1,16.8,30.6,47.5,14.2
UN025130,12.1,97.9,35.7,83.9,16.8,26.1
UN085073,12.3,11.2,21.8,29.3,56.1,14.5
UN085528,12.7,73.6,48.3,2.5,22.7,3.3
UN086314,12.9,12.8,18.3,68.2,73.9,13.4
UN112008,13.1,12.5,18.9,27,60,7.2
UN079840,13.4,27.1,16.4,47.4,42.4,13.8
UN004651,13.6,23.4,16.2,18.1,14.9,22
UN095028,13.8,28.7,21.8,37.1,97.4,4.4
UN097404,14.9,25.9,18.5,26.2,55.5,17.4
UN078628,14.9,46.8,126.9,33.8,122.4,6.2
UN102543,15.1,29,34.1,28.9,58.5,5.9
UN069513,15.3,,518,10,16.8,503
UN104506,15.8,30.9,19.1,18.2,20.9,28.3
UN102475,16,27.4,20.7,20.3,29.1,4.8
UN068548,16.6,42.1,35.9,32.1,62.6,14.7
UN065867,16.7,23.7,33.3,31.8,33.8,28
UN099634,16.9,19.3,18.9,17.2,19.6,27.9
UN098577,17.3,5.3,30.4,16.5,9,28.4
UN074830,17.7,30.5,17.5,27.1,44.4,13.6
UN082790,18.4,13.4,44.8,61.8,65.5,25.8
UN103949,18.4,24.9,25.9,24,35.2,8.9
UN091923,18.8,10.6,17.7,47.9,58.3,21
UN063516,18.8,24.9,20.7,25.4,28,14.1
UN083566,19.3,89.2,223.1,29.9,154.5,445
UN094214,19.7,52.4,122.4,17,94.5,3.2
UN087660,19.9,18.4,26.3,22.3,12.1,26.2
UN047977,19.9,81,19.1,11.9,17,5
UN083269,19.9,55.2,32.2,12.5,23.9,9.2
UN078163,20.2,17.5,26.3,36,48.7,5.3
UN075254,20.2,119.4,35.1,6.7,18,6
UN103155,20.6,21.5,26.9,13.1,11.3,16.6
UN078209,21.2,38.3,18.1,26.5,38.9,20.8
UN073669,21.2,28.1,25.7,15.9,39.5,19.4
UN094024,21.2,28.7,8,19.5,39.3,12.5
UN083416,21.7,27.7,35.7,38.8,56.5,28.5
UN079345,21.9,14.7,17.9,21.4,12.5,15.1
UN088059,22.1,126.9,26.5,8.6,25,7.8
UN064814,22.3,37.7,36.6,35.2,46.5,25.4
UN087990,22.4,15.3,24.6,16.5,16,36.5
UN089438,22.6,57,22,11.9,20.7,8.4
UN029479,24.1,44,77.8,24.8,71.8,6.6
UN112358,24.3,19.6,26.5,13.1,17,32.4
UN082921,24.6,28.7,56.3,31.2,23.7,50.2
UN071128,25.2,11.2,19.3,26.2,19.4,13.3
UN089144,25.2,30.5,27.3,17.9,19.9,28.4
UN085671,25.2,63.9,66.5,15.1,34.8,9.1
UN084633,25.6,19.6,23.4,20.6,17.2,23.4
UN046579,25.6,81.7,33.5,19,31.7,10.8
UN101096,25.8,35.5,24,21.5,28.9,18.8
UN034544,25.9,30.2,26.7,72.4,161,17
UN099071,26.1,32.4,25.1,59.6,15.4,86.3
UN097949,26.5,59.2,19.9,100.7,97.2,37.6
UN027888,26.7,43.6,74.6,72.2,103.5,107.7
UN069782,26.7,29.3,24.2,26.8,32.9,28.9
UN084183,27.4,31.8,35.1,25,27.8,21.9
UN064834,27.4,22.1,30.6,19.5,15.1,32
UN101844,28,54.9,36.4,125.7,164.9,23.9
UN078746,28.9,17.5,30.2,26,31.7,23.1
UN105673,29.1,31.8,40.7,32.9,47.5,40
UN096475,29.1,36.5,25.7,35.7,28.6,27.4
UN081671,29.1,35.2,45.6,35.9,30.9,27.6
UN111393,29.1,85.4,17.9,20.6,43.2,12.4
UN073756,29.2,41.5,23.2,19.5,25,11.3
UN068687,29.4,45.5,29,18.1,18.6,22.3
UN093316,29.6,110.7,67.6,96.7,173.7,34.1
UN093106,29.8,24.9,32.5,30.1,19.9,31.6
UN111185,30,39.9,21.8,33.7,77.6,17
UN110929,30,24,50.7,27.6,16.8,90.6
UN066610,30,24.6,18.3,17.9,14.5,21.8
UN081234,30,71.7,47.2,5.8,23.1,6.5
UN077633,30.5,34,30,64.3,81.4,29.7
UN052904,30.5,44.3,47.2,31.5,33.8,26.7
UN066294,30.7,18.4,22.2,24,34,26.9
UN080012,30.7,20.9,27.9,27.1,41.7,26.4
UN061587,30.7,76.4,41.7,9.2,22.1,10.9
UN106967,31.1,41.1,74.1,34.5,34.2,66.8
UN071639,31.3,44,36.1,93.6,155.5,46.3
UN089377,31.3,39.6,15.2,44.9,59.6,60.6
UN060585,31.3,37.4,71.1,26.2,29.3,27
UN047141,31.5,29,39,28.5,22.3,31.1
UN092219,31.8,25.9,52.8,38.8,21.9,40.1
UN096467,32.2,27.1,35.7,25,38.1,58.9
UN103151,32.2,21.8,35.9,27.3,31.7,36.4
UN071186,32.6,45.8,40.1,39.9,44,23.3
UN076860,32.7,30.9,33.5,29,31.3,37.6
UN082609,32.9,95.4,43.3,51.2,93.1,32
UN083174,33.3,32.1,30.2,99.8,139.8,34.2
UN107281,33.3,19.6,29.4,17.5,10.4,24.9
UN092845,33.5,19.6,35.9,27.9,22.9,29.9
UN062153,33.8,108.2,18.3,10.8,19.4,6
UN081060,35,10.3,36.6,42.1,18.6,73.9
UN060558,35.7,27.4,22.4,52.2,40.3,32.2
UN055137,35.7,21.5,38.6,32.7,34.8,37.6
UN079865,35.7,21.8,16.4,68.9,20.7,24.7
UN077337,35.9,86.3,61.2,17.8,35.8,12.6
UN079911,36.1,68.9,23.2,23.4,32.7,7.9
UN086110,36.4,29,45,35.9,27.2,49.5
UN105217,37,21.5,31,17.8,23.7,52.1
UN078549,37.3,28.4,28.1,32.1,25.6,29.3
UN065964,37.3,216,69.8,22.3,81,7.6
UN070054,38.1,33.4,45,47.6,55.7,46
UN057150,38.1,48.6,69.6,59.3,49.7,38.5
UN083242,38.6,25.6,37.6,41.2,46.9,25
UN084691,38.8,62,49.7,75.2,156.5,23.4
UN088962,39.2,115,29.4,41,52.2,20.6
UN091421,39.4,29.3,41.5,32,32.3,46.5
UN045680,39.6,135.6,118.9,61.4,101.5,250.2
UN095385,39.7,19.3,78.7,34.3,34.2,66.8
UN070691,40.1,43,43.3,25.1,49.9,30.3
UN086027,40.3,63,74.6,52.4,32.9,69.7
UN071207,40.7,30.9,41.5,41.3,24.8,38.3
UN089828,40.8,42.7,76.2,48.2,33.6,122
UN113832,41,82.3,58.5,68.2,85.1,27.4
UN044835,41,117.2,67.4,42.9,69.8,17
UN097399,41.6,67.6,51.6,52.7,32.7,61.8
UN101973,41.9,111.9,77.6,35.1,64.5,10
UN056820,42.7,58.9,53.4,39,68.8,47.2
UN053619,42.9,57.7,24.2,32.1,31.7,9.7
UN000676,43,121.9,48.9,43.5,65.9,19.8
UN085004,43.2,46.1,50.9,35.6,50.7,41.8
UN062499,43.2,34.9,38,29.8,32.5,25.7
UN067014,43.4,40.5,41.3,44.6,62.2,53.8
UN086509,43.4,102.9,110.5,75.3,192.2,37.7
UN058388,43.8,170.2,58.7,28.4,41.5,13.1
UN092636,44,156.5,55.2,25.7,77.4,16.6
UN076457,44.1,127.8,38.8,14,44,8.9
UN111910,44.9,45.8,47.9,55.1,88.6,40.4
UN064883,45.3,36.5,66.8,50.7,54.8,63
UN065291,45.3,57.7,49.3,42.6,61.6,37.7
UN070868,45.6,26.8,52,49.4,29.9,65.9
UN097129,46,51.4,59.8,36.5,53.8,53.1
UN061292,46.2,99.4,57.5,15.4,44.6,7.5
UN101213,46.5,33.7,103.1,19.6,19.8,204.1
UN045056,46.7,71.4,32,68.5,45.4,32
UN111785,46.9,51.7,24.6,115.7,119.7,59.8
UN100499,46.9,37.4,55.2,42.1,29.1,52.1
UN067188,47.5,64.8,86.1,44.6,27.8,42.5
UN071317,47.6,70.8,94.9,59.6,66.1,58
UN108952,47.8,59.5,1268.1,39.8,61.8,1131.6
UN070287,48.7,62.3,61.4,59.9,80,57.5
UN115039,49.3,59.9,57.9,37.4,34.6,54.8
UN089477,49.5,49.9,52.4,50.1,59.5,62.8
UN067214,49.9,56.4,38.8,158.6,182.9,76.8
UN072107,49.9,44.3,35.7,38.8,42,37.3
UN058362,50.6,51.1,31,29,52,43.1
UN092375,51.3,167.4,38.8,11.9,22.5,6.8
UN102447,51.5,52.7,81.3,50.8,27.6,75.9
UN101766,51.7,55.2,57.5,51.5,47.7,60.4
UN066872,51.9,31.8,119.9,31.8,15.8,95.7
UN091455,51.9,37.7,69.8,40.4,29.7,44.5
UN092348,52.1,37.1,44.4,54.3,60.6,85.8
UN073513,52.4,103.2,76,83.4,76.7,59.4
UN110873,52.4,50.2,42.3,40.9,28.9,44.8
UN057023,53.2,65.2,56.7,57.7,66.9,44.2
UN067282,53.5,108.8,36.4,49,86.6,18.8
UN098979,54.3,35.8,60.8,76.3,32.9,94.9
UN071938,54.5,114.7,42.1,61.3,47.9,21
UN082788,54.6,46.8,48.1,51,49.7,51.3
UN109000,55.2,53.6,82.8,48.2,57.7,70.8
UN091374,55.6,48.3,63.5,53.3,55,94.7
UN105607,55.9,118.8,58.3,83.4,172.9,34.7
UN069625,55.9,192.3,77.4,64.3,91.3,19.6
UN070384,56.1,54.9,42.1,93.9,159.8,146.2
UN055833,56.3,76.7,78.7,64.4,85.9,65.7
UN089137,56.3,114.7,83.6,46,135.5,33.7
UN048266,56.7,18.7,11.1,27.9,27.8,88.3
UN074047,56.8,145.3,73.3,30.1,66.5,18.9
UN094994,57,76.7,44.6,144.3,234.7,46.5
UN101339,57,71.4,92.8,55.8,54.2,98.4
UN091509,57,42.1,72.3,49.7,33.8,70.1
UN099363,57.4,39.3,95.3,50.1,27.2,106.7
UN102664,57.6,59.9,54.6,60.2,51.2,55.7
UN086471,57.6,407.1,676.5,58.5,388.2,437.2
UN109628,58.1,55.5,49.1,51.5,42.2,44.8
UN070382,58.1,217.6,31,18.4,30.1,11.8
UN049231,58.5,57,62.4,46,59.6,38.7
UN081941,59,428.9,163.9,36.3,341.9,224.8
UN085107,59,47.7,38.6,70.8,46,57.5
UN067119,59.2,92.6,83.2,350,462.3,191.6
UN069921,59.2,70.4,61.2,64.9,64.9,45.2
